Time (ms),EMG Value,Label
2002,0.62,idle
2002,-0.32,idle
2002,-1.14,idle
2002,-1.2,idle
2010,-0.4,idle
2012,0.65,idle
2014,1.06,idle
2015,0.42,idle
2018,-0.66,idle
2020,-0.91,idle
2022,0.27,idle
2024,1.69,idle
2026,1.32,idle
2028,-0.97,idle
2030,-2.79,idle
2030,-1.93,idle
2030,0.91,idle
2036,2.87,idle
2038,2.08,idle
2040,-0.49,idle
2042,-2.18,idle
2042,-1.48,idle
2045,0.51,idle
2048,1.58,idle
2050,0.88,idle
2052,-0.54,idle
2054,-1.32,idle
2056,-1.1,idle
2057,-0.34,idle
2060,0.66,idle
2062,1.7,idle
2064,2.02,idle
2066,0.76,idle
2068,-1.6,idle
2070,-3.12,idle
2072,-2.21,idle
2074,0.62,idle
2076,2.98,idle
2078,2.7,idle
2078,0.03,idle
2082,-2.34,idle
2084,-2.05,idle
2086,0.24,idle
2088,1.86,idle
2090,1.29,idle
2092,-0.5,idle
2093,-1.58,idle
2096,-1.12,idle
2097,0.09,idle
2099,0.8,idle
2100,0.71,idle
2103,0.67,idle
2105,1.04,idle
2108,0.71,idle
2110,-1.08,idle
2111,-2.89,idle
2113,-2.37,idle
2115,0.55,idle
2118,3.13,idle
2120,2.87,idle
2122,0.39,idle
2123,-1.59,idle
2126,-1.6,idle
2128,-0.69,idle
2130,-0.31,idle
2130,-0.38,idle
2134,0.09,idle
2136,1.07,idle
2137,1.44,idle
2140,0.58,idle
2142,-0.68,idle
2144,-1.05,idle
2145,-0.41,idle
2148,0.2,idle
2150,0.08,idle
2152,-0.31,idle
2153,-0.19,idle
2156,0.31,idle
2158,0.47,idle
2160,0.16,idle
2161,0.05,idle
2164,0.37,idle
2166,0.43,idle
2168,-0.36,idle
2170,-1.33,idle
2172,-1.25,idle
2174,0.06,idle
2176,1.39,idle
2178,1.53,idle
2180,0.5,idle
2182,-0.7,idle
2184,-1.15,idle
2186,-0.71,idle
2187,0.14,idle
2190,0.69,idle
2192,0.53,idle
2194,-0.09,idle
2194,-0.5,idle
2198,-0.32,idle
2200,0.09,idle
2202,0.19,idle
2202,0.11,idle
2206,0.34,idle
2208,0.69,idle
2210,0.36,idle
2212,-0.8,idle
2214,-1.74,idle
2216,-1.18,idle
2218,0.85,idle
2220,2.39,idle
2222,1.54,idle
2224,-0.93,idle
2225,-2.22,idle
2228,-0.9,idle
2230,1.29,idle
2232,1.71,idle
2234,0.07,idle
2236,-1.62,idle
2238,-1.67,idle
2238,-0.27,idle
2242,1.25,idle
2245,1.92,idle
2246,1.59,idle
2248,0.33,idle
2250,-1.62,idle
2252,-3.09,idle
2254,-2.4,idle
2255,0.58,idle
2258,3.44,idle
2260,3.44,idle
2260,0.56,idle
2264,-2.35,idle
2266,-2.74,idle
2268,-0.89,idle
2269,0.83,idle
2271,0.96,idle
2274,0.21,idle
2276,-0.04,idle
2278,0.39,idle
2280,0.6,idle
2282,0.13,idle
2284,-0.52,idle
2286,-0.66,idle
2288,-0.17,idle
2289,0.25,idle
2291,-0.04,idle
2294,-0.69,idle
2296,-0.54,idle
2297,0.74,idle
2299,1.79,idle
2302,1.22,idle
2303,-0.65,idle
2305,-2.01,idle
2306,-1.59,idle
2310,0.12,idle
2312,1.43,idle
2314,1.27,idle
2316,0.11,idle
2318,-0.79,idle
2320,-0.76,idle
2321,-0.15,idle
2324,0.31,idle
2326,0.56,idle
2328,0.85,idle
2329,0.72,idle
2332,-0.67,idle
2334,-2.53,idle
2336,-2.39,idle
2337,0.69,idle
2340,3.94,idle
2342,3.69,idle
2344,-0.14,idle
2345,-3.74,idle
2348,-3.7,idle
2350,-0.62,idle
2351,2.18,idle
2352,2.45,idle
2356,0.83,idle
2358,-0.61,idle
2360,-0.77,idle
2361,-0.28,idle
2364,-0.17,idle
