TimeStamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1.59111969997766e+15,2,2,8,-1,-4,-4,0,6
1.59111969997766e+15,4,-0,2,-1,-4,-4,-1,0
1.59111969998544e+15,2,-0,-7,-4,5,5,3,-2
1.59111969998544e+15,2,-1,-13,3,-1,-1,0,-3
1.59111969998707e+15,-10,-6,-9,-11,-3,-3,-3,-7
1.59111969998707e+15,-2,4,19,8,0,0,0,0
1.59111969998743e+15,1,-0,1,1,0,0,-4,0
1.59111969998743e+15,-2,-3,-5,-3,-7,-7,-2,-3
1.59111970000027e+15,4,5,6,5,3,3,2,3
1.59111970000027e+15,-6,-12,-49,-13,-8,-8,-3,-3
1.59111970000027e+15,0,-1,-11,-4,2,2,1,1
1.59111970000027e+15,-6,5,42,6,-1,-1,-4,-3
1.59111970000729e+15,-1,2,15,5,-2,-2,-2,-2
1.59111970000729e+15,-1,-0,-3,-2,3,3,-1,-2
1.59111970002229e+15,-5,-5,-12,-7,-3,-3,-2,-1
1.59111970002229e+15,-2,-0,-5,-3,2,2,0,-1
1.59111970002827e+15,1,1,-17,0,13,13,-1,3
1.59111970002827e+15,0,4,21,4,-2,-2,3,-4
1.59111970004323e+15,2,-3,-25,0,-7,-7,-1,5
1.59111970004323e+15,-1,-1,-1,-5,-1,-1,-2,0
1.59111970005525e+15,-3,-0,10,1,2,2,2,-6
1.59111970005525e+15,1,-3,-16,-5,-2,-2,3,-1
1.59111970006716e+15,0,1,14,2,-7,-7,0,-1
1.59111970006716e+15,1,-1,7,-2,-9,-9,-3,-4
1.5911197001151e+15,-1,-5,-21,-4,1,1,-9,0
1.5911197001151e+15,3,2,-1,2,4,4,-1,1
1.59111970011609e+15,-10,-8,-17,-8,-3,-3,-6,-4
1.59111970011609e+15,1,2,10,4,-2,-2,-5,1
1.59111970012806e+15,0,4,6,0,15,15,0,1
1.59111970012806e+15,1,-2,8,-2,-21,-21,-2,1
1.59111970012906e+15,0,5,2,-1,8,8,16,0
1.59111970012906e+15,0,-1,-6,-4,-3,-3,1,1
1.59111970013005e+15,0,1,7,0,2,2,1,0
1.59111970013005e+15,-5,-3,-10,0,1,1,-5,-5
1.59111970014256e+15,1,-1,0,1,-5,-5,-6,1
1.59111970014256e+15,1,-1,-9,-1,3,3,2,-3
1.59111970014341e+15,-1,-1,9,-1,-9,-9,-2,-1
1.59111970014341e+15,-3,-0,-1,-4,6,6,2,-1
1.59111970014899e+15,-1,-2,-3,1,-8,-8,-5,-1
1.59111970014899e+15,-3,1,7,1,2,2,0,0
1.59111970015644e+15,-2,-3,-5,-2,-5,-5,-2,-1
1.59111970015644e+15,-2,-0,6,-2,3,3,-1,-1
1.59111970017051e+15,0,-0,-2,2,1,1,-3,-2
1.59111970017051e+15,-3,-4,-9,-4,-5,-5,-6,-1
1.59111970017962e+15,-1,1,7,-1,-2,-2,-5,2
1.59111970017962e+15,-1,2,4,1,6,6,1,0
1.59111970019452e+15,0,-1,-4,-5,-6,-6,5,-2
1.59111970019452e+15,5,6,30,4,-9,-9,7,4
1.59111970019452e+15,-1,-8,-44,-10,1,1,3,-4
1.59111970019452e+15,0,1,7,-2,1,1,1,-4
1.59111970021701e+15,2,2,9,0,4,4,-7,0
1.59111970021701e+15,-2,-1,-5,-1,0,0,-1,-2
1.59111970021701e+15,0,4,11,8,1,1,-1,0
1.59111970021701e+15,-3,-6,-26,-4,-4,-4,-6,-2
1.59111970023095e+15,-1,-0,-1,-1,0,0,0,-2
1.59111970023095e+15,-4,-3,-6,-2,-4,-4,-1,-4
1.59111970023936e+15,-1,-0,0,1,-1,-1,1,-3
