TimeStamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1.59101201042116e+15,0,1,0,0,0,0,2,2
1.59101201042116e+15,0,-0,-2,-1,0,0,-2,-1
1.59101201042216e+15,-4,-2,-2,-2,-3,-3,-2,-1
1.59101201042216e+15,-1,-0,-1,0,0,0,3,1
1.59101201042673e+15,0,-2,-2,-3,-2,-2,-4,0
1.59101201042673e+15,-1,1,-1,-1,-1,-1,2,3
1.59101201042773e+15,-2,-2,-1,-1,-1,-1,-4,-9
1.59101201042773e+15,-1,-0,-1,-1,-1,-1,4,-2
1.59101201043282e+15,-1,-1,-1,1,-1,-1,-2,-2
1.59101201043282e+15,0,-2,-3,-1,0,0,-7,-7
1.59101201043282e+15,0,-0,-3,0,0,0,-2,2
1.59101201043282e+15,-2,-1,-2,-2,-1,-1,-1,-1
1.59101201044373e+15,-1,1,2,0,2,2,2,2
1.59101201044373e+15,-2,-0,-1,-2,-1,-1,-3,1
1.59101201045574e+15,-1,-1,-2,-2,-1,-1,1,0
1.59101201045574e+15,-2,-3,-2,-1,-4,-4,-7,-4
1.59101201047164e+15,-1,1,0,0,-2,-2,4,3
1.59101201047164e+15,0,-0,1,0,-1,-1,-2,-1
1.59101201047775e+15,-1,-1,-1,-2,0,0,0,-2
1.59101201047775e+15,0,-0,1,-1,1,1,-2,-7
1.59101201048583e+15,-3,-0,-1,0,-1,-1,2,2
1.59101201048583e+15,-2,1,-1,1,-1,-1,-1,1
1.59101201050078e+15,-3,-1,-3,-2,-3,-3,-1,-1
1.59101201050078e+15,-2,-0,0,-2,0,0,-2,-1
1.59101201054667e+15,-1,-0,-2,-2,1,1,0,4
1.59101201054667e+15,-2,-2,-2,-2,0,0,0,-5
1.59101201054798e+15,-1,-1,-2,-2,-2,-2,1,-2
1.59101201054798e+15,0,1,0,1,1,1,0,0
1.59101201054798e+15,-3,-1,-2,-3,-3,-3,-1,-3
1.59101201054798e+15,-1,-2,-2,-2,-2,-2,0,-1
1.59101201055396e+15,-1,-0,0,1,0,0,3,-1
1.59101201055396e+15,-1,-1,0,1,-2,-2,1,-3
1.59101201056892e+15,-1,-2,-1,-1,-3,-3,-4,0
1.59101201056892e+15,-3,-2,-1,-2,0,0,-4,-4
1.59101201057092e+15,0,-0,0,0,-2,-2,-1,2
1.59101201057092e+15,-2,-0,-1,0,-1,-1,-1,2
1.59101201057194e+15,-4,-2,-1,-1,0,0,-4,-6
1.59101201057194e+15,1,-0,-2,-1,-2,-2,3,0
1.59101201058289e+15,2,1,-1,-2,0,0,2,2
1.59101201058289e+15,0,-0,0,-2,-1,-1,0,2
1.59101201059694e+15,0,-1,-2,-2,-2,-2,-1,-1
1.59101201059694e+15,-1,-0,0,-1,-1,-1,-1,-5
1.59101201060392e+15,0,-1,-2,-1,-1,-1,-5,-2
1.59101201060392e+15,0,-0,-2,0,1,1,0,-1
1.59101201061184e+15,-1,-1,-3,1,-1,-1,0,-1
1.59101201061184e+15,-3,-1,-1,-2,-2,-2,0,1
1.5910120106279e+15,4,-0,-1,0,-3,-3,-4,-3
1.5910120106279e+15,-2,-0,1,-2,0,0,1,2
1.59101201062889e+15,-1,-1,0,-2,-1,-1,-6,-3
1.59101201062889e+15,-2,-1,-3,0,-1,-1,-2,-1
1.59101201064984e+15,-1,-0,-1,-1,-1,-1,-1,-4
1.59101201064984e+15,2,-1,-2,-2,-2,-2,-1,0
1.59101201065083e+15,-2,-1,-1,-4,0,0,1,-1
1.59101201065083e+15,0,-1,1,-2,-2,-2,-2,0
1.5910120106658e+15,-5,-2,-3,-2,-2,-2,-4,-3
1.5910120106658e+15,2,1,-1,0,-1,-1,-1,3
1.59101201067186e+15,-1,-0,0,-2,-1,-1,2,3
1.59101201067186e+15,-1,-1,-1,0,-4,-4,-3,-1
1.59101201068684e+15,-2,-1,-1,-2,-2,-2,1,-2
1.59101201068684e+15,-2,-1,0,0,-2,-2,-3,-2
1.59101201068774e+15,-2,-2,-2,-3,-1,-1,-4,-5
1.59101201068774e+15,-1,1,-1,-2,0,0,3,4
1.59101201070974e+15,-2,-0,-1,0,0,0,-3,-2
1.59101201070974e+15,-1,-1,-2,-2,-2,-2,-3,-2
1.59101201071068e+15,1,-0,0,-2,0,0,1,2
1.59101201071068e+15,-2,-0,-1,-2,-2,-2,1,-1
1.59101201072364e+15,-1,-0,0,0,0,0,-2,1
1.59101201072364e+15,-1,-1,-2,0,-2,-2,-1,-2
1.5910120107396e+15,-1,-3,0,0,-3,-3,-12,-11
1.5910120107396e+15,-3,-0,-2,-1,1,1,5,3
1.59101201075459e+15,0,1,-2,0,1,1,1,1
1.59101201075459e+15,-2,-3,-3,-3,-1,-1,-4,-4
1.59101201075556e+15,-1,-0,-1,0,0,0,1,-2
1.59101201075556e+15,-1,-3,-1,-2,-2,-2,-5,-4
1.59101201076955e+15,-1,-0,-1,-3,-1,-1,0,-4
