Time (ms),EMG Value
2001,-1.79
2014,-1.12
2028,1.87
2041,1.68
2054,-1.20
2068,-0.53
2081,-0.56
2094,0.03
2108,1.06
2121,0.17
2134,-1.50
2148,0.52
2161,0.37
2174,0.66
2188,0.39
2201,-1.53
2214,-1.48
2228,1.90
2241,1.23
2254,-0.51
2268,-0.39
2281,-1.40
2294,0.32
2308,0.93
2321,0.56
2334,-0.82
2347,0.39
2361,0.21
2374,-0.65
2387,-0.48
2401,-0.44
2414,1.44
2427,1.01
2441,-1.24
2454,-1.07
2468,0.92
2481,0.67
2494,-1.23
2508,0.33
2521,0.26
2534,-0.01
2548,1.25
2561,-1.15
2574,-1.55
2588,1.04
2601,0.92
2614,-0.55
2628,1.19
2641,-0.55
2654,-2.19
2668,1.13
2681,0.88
2694,-0.69
2708,0.59
2721,0.64
2734,-1.37
2748,0.60
2761,-0.88
2774,-0.26
2788,1.60
2801,0.72
2814,-1.75
2828,-0.38
2841,0.77
2854,-0.41
2868,1.21
2881,-0.47
2894,-1.07
2908,0.69
2921,0.04
2934,-0.05
2948,0.21
2961,0.26
2974,-0.90
2988,0.34
3001,0.36
3014,-0.27
3027,-0.30
3041,0.20
3054,0.43
3067,0.26
3081,-0.96
3094,0.14
3107,0.94
3120,-0.87
3134,-1.35
3147,1.51
3161,1.68
3174,-1.34
3187,-0.24
3201,-0.74
3214,-1.01
3227,2.24
3241,0.84
3254,-1.74
3267,0.65
3281,-0.69
3294,-0.44
3308,1.34
3321,-0.07
3334,-0.80
3348,0.38
3361,0.34
3374,-1.00
3388,0.50
3401,0.88
3414,-0.82
3428,0.02
3441,0.28
3454,-0.87
3468,0.48
3481,0.76
3494,-0.95
3508,0.86
3521,-0.23
3534,-1.30
3547,0.85
3561,1.18
3574,-1.14
3588,0.33
3601,-0.42
3614,-0.98
3628,1.29
3641,1.33
3654,-1.18
3668,-0.60
3681,-0.04
3694,-0.07
3708,0.82
3721,-0.22
3734,-0.95
3748,1.80
3761,0.13
3774,-2.02
3788,0.00
3801,1.02
3814,0.35
3828,-0.39
3841,-0.12
3854,-0.46
3868,0.93
3881,0.32
3894,-0.99
3908,-0.12
3921,-0.27
3934,-0.35
3948,2.33
3961,0.03
3974,-1.65
3987,-0.93
4001,0.72
4014,0.18
4028,1.61
4041,-0.53
4054,-2.17
4067,1.21
4081,0.80
4094,-0.97
4108,0.34
4121,0.65
4134,-1.14
4148,0.68
4161,-0.33
4174,-0.53
4188,1.06
4201,-0.01
4214,-0.35
4228,-0.05
4241,0.21
4254,-0.94
4267,1.12
4281,-0.25
4294,-0.65
4308,0.21
4321,0.90
4334,-0.41
4348,0.15
4361,-0.24
4374,-0.67
4388,-0.21
4401,0.58
4414,0.74
4428,0.16
4441,-0.46
4454,-0.70
4467,0.47
4481,-0.46
4494,-0.07
4508,0.71
4521,0.70
4534,-1.09
4548,0.60
4561,-0.48
4574,-1.31
4596,1.12
4601,1.50
4614,-0.89
4627,-0.48
4641,0.00
4654,-0.89
4667,1.41
4681,0.04
4694,-0.64
4708,-0.05
4721,0.61
4734,-0.63
4748,0.97
4761,-0.53
4774,-1.58
4787,0.97
4801,1.42
4814,-0.25
4828,-0.44
4841,-1.09
4854,-0.63
4867,1.86
4881,1.13
4894,-1.03
4908,-1.52
4921,-0.02
4934,0.40
4948,1.59
4961,0.34
4974,-1.22
4987,-1.10
5001,0.32
5014,0.28
5028,1.25
5041,0.34
5054,-1.73
5067,-0.21
5081,0.80
5094,-0.32
5107,0.55
5121,0.44
5134,-1.12
5148,0.14
5161,0.58
5174,-0.75
5187,0.37
5201,0.58
5214,-1.02
5228,0.90
5241,-0.14
5254,-1.24
5267,0.85
5281,1.00
