Time (ms),EMG Value,Label
2006,0.07,idle
2007,-0.01,idle
2009,-0.29,idle
2009,-0.53,idle
2009,-0.29,idle
2015,0.45,idle
2017,0.96,idle
2019,0.59,idle
2021,-0.43,idle
2024,-1.1,idle
2024,-0.75,idle
2027,0.23,idle
2029,0.88,idle
2031,0.67,idle
2033,-0.05,idle
2035,-0.53,idle
2038,-0.41,idle
2039,0.06,idle
2041,0.32,idle
2043,0.14,idle
2045,-0.2,idle
2047,-0.29,idle
2050,-0.06,idle
2052,0.22,idle
2053,0.32,idle
2054,0.19,idle
2057,-0.03,idle
2059,-0.23,idle
2061,-0.38,idle
2063,-0.35,idle
2066,0.03,idle
2067,0.55,idle
2069,0.7,idle
2071,0.21,idle
2074,-0.55,idle
2075,-0.86,idle
2077,-0.43,idle
2079,0.34,idle
2081,0.77,idle
2083,0.57,idle
2085,0.0,idle
2088,-0.44,idle
2089,-0.54,idle
2091,-0.35,idle
2093,0.0,idle
2095,0.4,idle
2096,0.59,idle
2099,0.29,idle
2101,-0.32,idle
2102,-0.63,idle
2102,-0.25,idle
2107,0.42,idle
2109,0.57,idle
2111,-0.01,idle
2111,-0.65,idle
2115,-0.56,idle
2117,0.24,idle
2119,0.86,idle
2120,0.58,idle
2124,-0.31,idle
2125,-0.82,idle
2127,-0.45,idle
2129,0.25,idle
2131,0.47,idle
2133,0.1,idle
2134,-0.19,idle
2137,-0.02,idle
2139,0.29,idle
2141,0.21,idle
2142,-0.23,idle
2145,-0.48,idle
2147,-0.26,idle
2149,0.15,idle
2151,0.33,idle
2153,0.26,idle
2155,0.14,idle
2157,0.02,idle
2160,-0.18,idle
2162,-0.38,idle
2163,-0.33,idle
2165,0.04,idle
2167,0.41,idle
2169,0.42,idle
2169,0.09,idle
2173,-0.26,idle
2175,-0.34,idle
2177,-0.15,idle
2178,0.06,idle
2181,0.14,idle
2183,0.12,idle
2186,0.09,idle
2187,0.05,idle
2189,-0.01,idle
2191,-0.07,idle
2193,-0.13,idle
2196,-0.18,idle
2197,-0.15,idle
2200,0.08,idle
2201,0.4,idle
2203,0.44,idle
2205,0.03,idle
2207,-0.53,idle
2208,-0.65,idle
2212,-0.13,idle
2213,0.56,idle
2215,0.75,idle
2217,0.2,idle
2219,-0.61,idle
2221,-0.84,idle
2224,-0.21,idle
2225,0.68,idle
2227,0.9,idle
2230,0.21,idle
2231,-0.66,idle
2233,-0.86,idle
2235,-0.24,idle
2236,0.52,idle
2239,0.72,idle
2241,0.26,idle
2243,-0.33,idle
2245,-0.51,idle
2247,-0.18,idle
2249,0.23,idle
2249,0.25,idle
2253,-0.03,idle
2255,-0.19,idle
2257,-0.04,idle
2257,0.16,idle
2262,0.15,idle
2264,-0.01,idle
2266,-0.11,idle
2267,-0.08,idle
2269,-0.05,idle
2272,-0.08,idle
2272,-0.05,idle
2275,0.1,idle
2277,0.22,idle
2279,0.15,idle
2280,-0.07,idle
2283,-0.22,idle
2285,-0.16,idle
2288,0.01,idle
2288,0.08,idle
2291,0.03,idle
2294,0.0,idle
2295,0.08,idle
2297,0.14,idle
2299,0.08,idle
2301,-0.11,idle
2302,-0.29,idle
2305,-0.28,idle
2307,0.03,idle
2309,0.38,idle
2310,0.41,idle
2313,0.02,idle
2315,-0.37,idle
2317,-0.34,idle
2318,0.03,idle
2321,0.27,idle
2323,0.12,idle
2325,-0.17,idle
2327,-0.15,idle
2329,0.18,idle
2331,0.36,idle
2333,0.04,idle
2333,-0.44,idle
2337,-0.5,idle
2339,-0.07,idle
2341,0.4,idle
2343,0.52,idle
2345,0.33,idle
2347,0.03,idle
2349,-0.32,idle
2351,-0.68,idle
2353,-0.7,idle
2355,-0.04,idle
2357,0.93,idle
2359,1.23,idle
2361,0.36,idle
2363,-0.95,idle
2365,-1.4,idle
2367,-0.5,idle
2369,0.84,idle
2369,1.25,idle
2373,0.39,idle
2375,-0.72,idle
2377,-0.93,idle
2377,-0.19,idle
2381,0.55,idle
2384,0.59,idle
2386,0.07,idle
2388,-0.33,idle
2389,-0.3,idle
2391,-0.06,idle
2393,0.07,idle
2395,0.05,idle
2397,0.07,idle
2399,0.18,idle
2399,0.24,idle
2403,0.04,idle
2405,-0.37,idle
2407,-0.58,idle
2408,-0.26,idle
2411,0.43,idle
2413,0.84,idle
2415,0.48,idle
2417,-0.38,idle
2419,-0.89,idle
2421,-0.54,idle
2423,0.27,idle
2425,0.72,idle
2428,0.47,idle
2430,-0.15,idle
2431,-0.52,idle
2433,-0.39,idle
2435,0.06,idle
2436,0.4,idle
2439,0.33,idle
2441,-0.04,idle
2443,-0.33,idle
2443,-0.25,idle
2447,0.06,idle
2449,0.26,idle
2451,0.13,idle
2453,-0.14,idle
2455,-0.21,idle
2457,-0.01,idle
2460,0.21,idle
2461,0.18,idle
2463,-0.06,idle
2466,-0.2,idle
2466,-0.11,idle
2469,0.06,idle
2471,0.1,idle
2474,-0.02,idle
2475,-0.07,idle
2477,0.05,idle
2480,0.19,idle
2481,0.11,idle
2483,-0.15,idle
2485,-0.32,idle
2485,-0.18,idle
2489,0.17,idle
2491,0.38,idle
2494,0.21,idle
2494,-0.17,idle
2497,-0.38,idle
2499,-0.17,idle
2501,0.21,idle
2503,0.35,idle
2505,0.09,idle
2508,-0.25,idle
2509,-0.3,idle
2511,-0.06,idle
2513,0.22,idle
2514,0.27,idle
2517,0.09,idle
2519,-0.15,idle
2521,-0.26,idle
2523,-0.16,idle
2525,0.08,idle
2527,0.27,idle
2528,0.24,idle
2531,-0.03,idle
2533,-0.31,idle
2535,-0.31,idle
2536,0.0,idle
2539,0.32,idle
2541,0.3,idle
2543,-0.0,idle
2545,-0.21,idle
2547,-0.13,idle
2549,0.04,idle
2551,0.02,idle
2553,-0.08,idle
2555,-0.03,idle
2557,0.13,idle
2557,0.1,idle
2561,-0.15,idle
2563,-0.23,idle
2565,0.1,idle
2567,0.49,idle
2569,0.38,idle
2571,-0.27,idle
2571,-0.85,idle
2575,-0.67,idle
2577,0.26,idle
2580,1.07,idle
2581,0.93,idle
2583,-0.1,idle
2585,-1.05,idle
2587,-1.03,idle
2587,-0.06,idle
2587,0.88,idle
2593,0.92,idle
2595,0.12,idle
2597,-0.65,idle
2599,-0.7,idle
2601,-0.15,idle
2603,0.4,idle
2605,0.48,idle
2605,0.17,idle
2609,-0.17,idle
2611,-0.26,idle
2613,-0.16,idle
2614,-0.03,idle
2617,0.04,idle
2619,0.11,idle
2621,0.17,idle
2623,0.13,idle
2625,-0.02,idle
2628,-0.19,idle
2630,-0.2,idle
2631,-0.01,idle
2633,0.2,idle
2636,0.15,idle
2636,-0.15,idle
2639,-0.37,idle
2642,-0.14,idle
2643,0.44,idle
2645,0.75,idle
2647,0.29,idle
2649,-0.63,idle
2650,-1.09,idle
2653,-0.54,idle
2655,0.51,idle
2657,1.08,idle
2660,0.74,idle
2661,-0.11,idle
2663,-0.72,idle
2665,-0.73,idle
2667,-0.29,idle
2669,0.24,idle
2671,0.51,idle
2673,0.41,idle
2675,0.08,idle
2677,-0.18,idle
2680,-0.25,idle
2681,-0.2,idle
2684,-0.1,idle
2684,0.03,idle
2687,0.19,idle
2689,0.24,idle
2692,0.08,idle
2692,-0.16,idle
2695,-0.24,idle
2697,-0.07,idle
2699,0.13,idle
2699,0.13,idle
2703,-0.01,idle
2705,-0.06,idle
2708,0.06,idle
2709,0.12,idle
2711,-0.09,idle
2713,-0.36,idle
2715,-0.21,idle
2717,0.37,idle
2719,0.69,idle
2721,0.22,idle
2723,-0.64,idle
2725,-0.88,idle
2727,-0.16,idle
2729,0.75,idle
2731,0.86,idle
2733,0.12,idle
2735,-0.67,idle
2737,-0.74,idle
2739,-0.1,idle
2741,0.53,idle
2742,0.57,idle
2745,0.09,idle
2747,-0.32,idle
2749,-0.32,idle
2751,-0.1,idle
2753,0.03,idle
2755,0.03,idle
2757,0.06,idle
2757,0.13,idle
2761,0.16,idle
2763,0.11,idle
2765,-0.01,idle
2765,-0.16,idle
2769,-0.28,idle
2772,-0.28,idle
2773,-0.08,idle
2776,0.26,idle
2777,0.51,idle
2780,0.42,idle
2781,-0.03,idle
2783,-0.51,idle
2786,-0.6,idle
2787,-0.21,idle
2787,0.29,idle
2791,0.48,idle
2794,0.24,idle
2795,-0.1,idle
2796,-0.2,idle
2799,-0.06,idle
2801,0.05,idle
2803,-0.04,idle
2806,-0.14,idle
2808,-0.02,idle
2809,0.17,idle
2811,0.14,idle
2813,-0.12,idle
2816,-0.27,idle
2817,-0.03,idle
2819,0.37,idle
2822,0.42,idle
2823,-0.06,idle
2825,-0.6,idle
2827,-0.58,idle
2830,0.03,idle
2831,0.63,idle
2833,0.66,idle
2835,0.12,idle
2836,-0.48,idle
2839,-0.61,idle
2841,-0.21,idle
2843,0.29,idle
2844,0.43,idle
2847,0.18,idle
2850,-0.13,idle
2852,-0.28,idle
2853,-0.2,idle
2855,0.08,idle
2858,0.35,idle
2858,0.26,idle
2861,-0.2,idle
2863,-0.5,idle
2865,-0.2,idle
2866,0.4,idle
2869,0.55,idle
2871,0.02,idle
2873,-0.55,idle
2873,-0.48,idle
2877,0.15,idle
2880,0.58,idle
2882,0.37,idle
2882,-0.2,idle
2886,-0.49,idle
2888,-0.24,idle
2890,0.18,idle
2891,0.27,idle
2894,0.03,idle
2896,-0.12,idle
2896,0.06,idle
2900,0.22,idle
2901,0.0,idle
2904,-0.39,idle
2904,-0.4,idle
2907,0.13,idle
2909,0.62,idle
2911,0.45,idle
2912,-0.24,idle
2916,-0.66,idle
2917,-0.37,idle
2919,0.25,idle
2921,0.53,idle
2923,0.24,idle
2925,-0.18,idle
2927,-0.29,idle
2928,-0.1,idle
2931,0.08,idle
2933,0.04,idle
2935,-0.09,idle
2937,-0.06,idle
2939,0.17,idle
2941,0.32,idle
2942,0.13,idle
2945,-0.28,idle
2947,-0.46,idle
2950,-0.2,idle
2951,0.23,idle
2953,0.4,idle
2955,0.2,idle
2957,-0.08,idle
2959,-0.17,idle
2961,-0.13,idle
2963,-0.13,idle
2966,-0.11,idle
2967,0.07,idle
2969,0.32,idle
2969,0.33,idle
2973,-0.01,idle
2975,-0.41,idle
2978,-0.47,idle
2978,-0.11,idle
2981,0.35,idle
2983,0.49,idle
2985,0.22,idle
2987,-0.19,idle
2990,-0.37,idle
2991,-0.21,idle
2993,0.07,idle
2995,0.21,idle
2997,0.08,idle
2999,-0.09,idle
2999,-0.06,idle
3003,0.11,idle
3005,0.11,idle
3007,-0.14,idle
3009,-0.28,idle
3011,-0.0,idle
3014,0.44,idle
3015,0.45,idle
3017,-0.19,idle
3019,-0.85,idle
3022,-0.69,idle
3023,0.29,idle
3025,1.13,idle
3027,0.91,idle
3030,-0.18,idle
3030,-1.06,idle
3033,-0.93,idle
3035,-0.04,idle
3035,0.67,idle
3035,0.66,idle
3042,0.18,idle
3042,-0.2,idle
3042,-0.27,idle
3047,-0.19,idle
3048,-0.1,idle
3048,-0.01,idle
3053,0.08,idle
3056,0.13,idle
3056,0.16,idle
3060,0.15,idle
3062,0.01,idle
3062,-0.3,idle
3065,-0.48,idle
3067,-0.15,idle
3069,0.48,idle
3071,0.71,idle
3073,0.17,idle
3075,-0.59,idle
3078,-0.72,idle
3080,-0.11,idle
3081,0.52,idle
3084,0.55,idle
3085,0.09,idle
3087,-0.31,idle
3089,-0.37,idle
3091,-0.2,idle
3094,0.04,idle
3095,0.29,idle
3097,0.41,idle
3098,0.18,idle
3102,-0.31,idle
3103,-0.6,idle
3105,-0.34,idle
3105,0.27,idle
3109,0.7,idle
3111,0.53,idle
3114,-0.1,idle
3115,-0.65,idle
3117,-0.64,idle
3119,-0.12,idle
3121,0.42,idle
3123,0.53,idle
3125,0.26,idle
3128,-0.05,idle
3130,-0.19,idle
3131,-0.24,idle
3133,-0.27,idle
3136,-0.18,idle
3137,0.1,idle
3139,0.39,idle
3141,0.4,idle
3144,0.11,idle
3145,-0.28,idle
3147,-0.44,idle
