Time (ms),EMG Value,Label
2000,-0.13,idle
2000,0.0,idle
2000,0.12,idle
2001,0.07,idle
2010,-0.07,idle
2010,-0.05,idle
2010,0.12,idle
2010,0.17,idle
2010,-0.01,idle
2020,-0.23,idle
2020,-0.25,idle
2020,-0.09,idle
2020,0.12,idle
2020,0.31,idle
2028,0.35,idle
2028,0.1,idle
2028,-0.31,idle
2028,-0.51,idle
2038,-0.3,idle
2038,0.12,idle
2038,0.4,idle
2038,0.45,idle
2038,0.26,idle
2038,-0.11,idle
2048,-0.53,idle
2048,-0.6,idle
2048,-0.13,idle
2048,0.52,idle
2058,0.7,idle
2058,0.22,idle
2058,-0.41,idle
2058,-0.57,idle
2058,-0.2,idle
2068,0.27,idle
2068,0.42,idle
2068,0.17,idle
2068,-0.2,idle
2068,-0.32,idle
2078,-0.12,idle
2078,0.13,idle
2078,0.19,idle
2078,0.12,idle
2078,0.06,idle
2088,-0.01,idle
2088,-0.18,idle
2088,-0.32,idle
2088,-0.17,idle
2088,0.23,idle
2098,0.48,idle
2098,0.3,idle
2098,-0.13,idle
2098,-0.44,idle
2098,-0.43,idle
2108,-0.14,idle
2108,0.29,idle
2108,0.58,idle
2108,0.43,idle
2108,-0.1,idle
2118,-0.56,idle
2118,-0.55,idle
2118,-0.15,idle
2118,0.26,idle
2118,0.47,idle
2126,0.48,idle
2126,0.22,idle
2126,-0.29,idle
2126,-0.69,idle
2126,-0.59,idle
2138,0.0,idle
2138,0.61,idle
2138,0.76,idle
2138,0.33,idle
2138,-0.35,idle
2148,-0.73,idle
2148,-0.48,idle
2148,0.13,idle
2148,0.48,idle
2148,0.34,idle
2156,0.03,idle
2156,-0.09,idle
2156,-0.08,idle
2156,-0.16,idle
2166,-0.25,idle
2166,-0.09,idle
2166,0.26,idle
2166,0.36,idle
2167,0.06,idle
2176,-0.25,idle
2176,-0.21,idle
2176,-0.0,idle
2176,0.07,idle
2176,0.03,idle
2186,0.06,idle
2186,0.12,idle
2186,0.05,idle
2186,-0.12,idle
2186,-0.21,idle
2196,-0.12,idle
2196,0.07,idle
2196,0.24,idle
2196,0.25,idle
2196,0.03,idle
2206,-0.26,idle
2206,-0.34,idle
2206,-0.08,idle
2206,0.23,idle
2206,0.3,idle
2216,0.13,idle
2216,-0.09,idle
2216,-0.21,idle
2216,-0.24,idle
2216,-0.12,idle
2226,0.18,idle
2226,0.39,idle
2226,0.25,idle
2226,-0.16,idle
2226,-0.44,idle
2236,-0.31,idle
2236,0.1,idle
2236,0.43,idle
2236,0.36,idle
2236,-0.05,idle
2246,-0.42,idle
2246,-0.38,idle
2246,0.03,idle
2246,0.4,idle
2246,0.29,idle
2256,-0.12,idle
2256,-0.29,idle
2256,-0.04,idle
2256,0.2,idle
2256,0.07,idle
2266,-0.22,idle
2266,-0.2,idle
2266,0.12,idle
2266,0.27,idle
2266,0.09,idle
2274,-0.12,idle
2274,-0.09,idle
2274,0.03,idle
2275,-0.03,idle
2275,-0.2,idle
2284,-0.15,idle
2284,0.19,idle
2284,0.47,idle
2284,0.29,idle
2284,-0.27,idle
2294,-0.63,idle
2294,-0.36,idle
2294,0.3,idle
2294,0.63,idle
2294,0.29,idle
2304,-0.28,idle
2304,-0.42,idle
2304,-0.1,idle
2304,0.19,idle
2314,0.13,idle
2314,-0.09,idle
2314,-0.12,idle
2314,0.07,idle
2315,0.24,idle
2324,0.19,idle
2324,-0.09,idle
2324,-0.4,idle
2324,-0.42,idle
2324,0.03,idle
2334,0.6,idle
2334,0.61,idle
2334,-0.04,idle
2334,-0.67,idle
2334,-0.59,idle
2344,0.07,idle
2344,0.55,idle
2344,0.42,idle
2344,-0.05,idle
2344,-0.36,idle
2354,-0.28,idle
2354,0.05,idle
2354,0.27,idle
2354,0.16,idle
2354,-0.12,idle
2364,-0.23,idle
2364,-0.06,idle
2364,0.15,idle
2364,0.16,idle
2364,0.02,idle
2374,-0.1,idle
2374,-0.11,idle
2374,-0.07,idle
2374,0.02,idle
2374,0.12,idle
2384,0.11,idle
2384,-0.02,idle
2384,-0.12,idle
2384,-0.06,idle
2384,0.02,idle
2392,-0.01,idle
2392,-0.03,idle
2392,0.12,idle
2392,0.22,idle
2392,-0.0,idle
2402,-0.36,idle
2402,-0.32,idle
2402,0.17,idle
2402,0.49,idle
2402,0.22,idle
2412,-0.27,idle
2412,-0.39,idle
2412,-0.1,idle
2413,0.18,idle
2422,0.19,idle
2422,0.06,idle
2422,-0.03,idle
2422,-0.04,idle
2422,-0.03,idle
2432,-0.04,idle
2433,-0.04,idle
2433,-0.03,idle
2433,0.01,idle
2433,0.06,idle
2442,0.08,idle
2442,0.05,idle
2442,-0.02,idle
2442,-0.07,idle
2442,-0.13,idle
2452,-0.13,idle
2452,0.03,idle
2452,0.28,idle
2452,0.29,idle
2452,-0.04,idle
2462,-0.37,idle
2462,-0.35,idle
2462,-0.01,idle
2462,0.29,idle
2462,0.34,idle
2470,0.19,idle
2470,-0.04,idle
2470,-0.32,idle
2470,-0.46,idle
2480,-0.22,idle
2480,0.32,idle
2480,0.63,idle
2480,0.34,idle
2480,-0.28,idle
2490,-0.59,idle
2490,-0.32,idle
2490,0.16,idle
2490,0.39,idle
2490,0.25,idle
2500,-0.02,idle
2500,-0.18,idle
2500,-0.19,idle
2500,-0.06,idle
2500,0.1,idle
2510,0.12,idle
2510,-0.01,idle
2510,-0.11,idle
2510,-0.0,idle
